country_name,continent,year,happiness,GDP,life_expect,freedom,corruption,total_pop
Afghanistan,Asia,2019,2.375,7.64,53.9,0.394,0.924,37769499
Afghanistan,Asia,2017,2.662,7.648,53.25,0.427,0.954,35643418
Central African Republic,Africa,2016,2.693,6.707,44.75,0.624,0.859,4904177
Afghanistan,Asia,2018,2.694,7.631,53.575,0.374,0.928,36686784
Zimbabwe,Africa,2019,2.694,7.698,53.1,0.632,0.831,15354608
South Sudan,Africa,2017,2.817,NA,53.35,0.456,0.761,10658226
South Sudan,Africa,2016,2.888,NA,53.175,0.44,0.785,11066105
Tanzania,Africa,2016,2.903,7.775,57.15,0.775,0.739,54401802
Yemen,Asia,2018,3.058,7.444,57.725,0.553,0.793,30790513
Rwanda,Africa,2017,3.108,7.568,59.55,0.908,0.214,12230339
India,Asia,2019,3.249,8.796,60.3,0.876,0.752,1383112050
Yemen,Asia,2017,3.254,7.243,57.95,0.595,NA,30034389
Rwanda,Africa,2019,3.268,7.692,60.2,0.869,0.168,12835028
Zambia,Africa,2019,3.307,8.123,54.4,0.811,0.832,18380477
Rwanda,Africa,2016,3.333,7.554,59.225,0.911,0.159,11930899
Malawi,Africa,2018,3.335,7.299,56.55,0.799,0.766,18367883
Tanzania,Africa,2017,3.347,7.807,57.6,0.8,0.654,56267032
Haiti,North America,2016,3.352,8.056,54.9,0.304,0.839,10713849
Liberia,Africa,2016,3.355,7.33,53.1,0.763,0.901,4706097
Malawi,Africa,2017,3.417,7.283,56,0.848,0.735,17881167
Tanzania,Africa,2018,3.445,7.828,58.05,0.807,0.612,58090443
Sierra Leone,Africa,2019,3.447,7.412,52.9,0.718,0.874,8046828
Botswana,Africa,2018,3.461,9.613,53.625,0.818,0.807,2451409
Botswana,Africa,2019,3.471,9.624,53.9,0.833,0.792,2499702
Central African Republic,Africa,2017,3.476,6.733,45.3,0.645,0.89,4996741
Malawi,Africa,2016,3.476,7.27,55.45,0.81,0.824,17405624
Botswana,Africa,2016,3.499,9.573,53.075,0.852,0.729,2352416
Botswana,Africa,2017,3.505,9.593,53.35,0.817,0.731,2401840
Lesotho,Africa,2019,3.512,7.837,44.2,0.716,0.915,2225702
Rwanda,Africa,2018,3.561,7.626,59.875,0.924,0.164,12531808
Guinea,Africa,2016,3.603,7.704,51.95,0.726,0.803,11930985
Haiti,North America,2018,3.615,8.07,55.5,0.591,0.72,11012421
Zimbabwe,Africa,2018,3.616,7.783,52.625,0.763,0.844,15052184
Zimbabwe,Africa,2017,3.638,7.754,52.15,0.753,0.751,14751101
Tanzania,Africa,2019,3.64,7.855,58.5,0.85,0.589,59872579
Madagascar,Africa,2016,3.663,7.332,56.55,0.57,0.864,25501941
Zimbabwe,Africa,2016,3.735,7.735,51.675,0.733,0.724,14452704
Lesotho,Africa,2017,3.795,7.852,42.9,0.757,0.797,2170617
Lesotho,Africa,2016,3.808,7.897,42.25,0.729,0.743,2143872
India,Asia,2018,3.818,8.77,60,0.89,0.805,1369003306
Haiti,North America,2017,3.824,8.067,55.2,0.484,0.647,10863543
Yemen,Asia,2016,3.826,7.552,58.175,0.533,NA,29274002
Malawi,Africa,2019,3.869,7.325,57.1,0.765,0.68,18867337
Togo,Africa,2016,3.879,7.569,54.7,0.73,0.815,7661354
Egypt,Africa,2017,3.929,9.253,62.5,0.593,NA,101789386
Zambia,Africa,2017,3.933,8.13,53.55,0.823,0.74,17298054
Comoros,Africa,2018,3.973,8.1,58.725,0.56,0.794,776313
Uganda,Africa,2017,4.001,7.663,57.25,0.772,0.816,40127085
Egypt,Africa,2018,4.005,9.286,62.75,0.682,NA,103740765
Benin,Africa,2016,4.007,7.958,54.6,0.78,0.838,11260085
Mali,Africa,2016,4.016,7.655,53.4,0.696,0.862,18700106
Togo,Africa,2018,4.023,7.611,55.7,0.612,0.809,8046679
Lebanon,Asia,2019,4.024,9.751,66,0.447,0.89,5781907
Chad,Africa,2016,4.029,7.429,50.875,0.525,0.82,14592585
Ukraine,Europe,2016,4.029,9.353,63.925,0.503,0.891,45004673
